INPUT:parentheses	OUTPUT:correct	GOLDEN:correct	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ASSIGNMENT:accepted	ASSIGNMENT:reward
[ { ) ] { ) { ( ) [ [ ]	0				https://platform.toloka.ai/task/41554142/00027a10de--651673f44dc98f156e903d1c	00027a10de--6515e7f4e6499645e520cacf	00027a10de--651673f44dc98f156e903d1c	00027a10de--651673f44dc98f156e903d14	c3b72da5378d99c4ff1a4edb47c6fc99	APPROVED	2023-09-29T06:51:32.264	2023-09-29T06:52:05.341	2023-09-29T06:52:05.341	0.0220000000
[ } ) } ) { ) )	0				https://platform.toloka.ai/task/41554142/00027a10de--651673f44dc98f156e903d1c	00027a10de--6515e7f4e6499645e520ca81	00027a10de--651673f44dc98f156e903d1c	00027a10de--651673f44dc98f156e903d14	c3b72da5378d99c4ff1a4edb47c6fc99	APPROVED	2023-09-29T06:51:32.264	2023-09-29T06:52:05.341	2023-09-29T06:52:05.341	0.0220000000
[ ] { ( ( ( [ [ { } ( ) ( ) ] ] ) ) ) }	1	1			https://platform.toloka.ai/task/41554142/00027a10de--651673f44dc98f156e903d1c	00027a10de--6515e7e063c0d47637f1e11a	00027a10de--651673f44dc98f156e903d1c	00027a10de--651673f44dc98f156e903d14	c3b72da5378d99c4ff1a4edb47c6fc99	APPROVED	2023-09-29T06:51:32.264	2023-09-29T06:52:05.341	2023-09-29T06:52:05.341	0.0220000000
{ ( ) ( ) [ ] }	1				https://platform.toloka.ai/task/41554142/00027a10de--651673f79ed8a304700c7295	00027a10de--6515e7f4e6499645e520ca15	00027a10de--651673f79ed8a304700c7295	00027a10de--651673f79ed8a304700c7281	11382edf2065da968eca08ecf6568a00	APPROVED	2023-09-29T06:51:35.483	2023-09-29T06:52:08.573	2023-09-29T06:52:08.573	0.0190000000
[ ] [ ] [ ] [ ] { { ( ) ( ) { [ ] } } }	1				https://platform.toloka.ai/task/41554142/00027a10de--651673f79ed8a304700c7295	00027a10de--6515e7f4e6499645e520cab2	00027a10de--651673f79ed8a304700c7295	00027a10de--651673f79ed8a304700c7281	11382edf2065da968eca08ecf6568a00	APPROVED	2023-09-29T06:51:35.483	2023-09-29T06:52:08.573	2023-09-29T06:52:08.573	0.0190000000
) ( ) ( { } [ } ) [	0	0			https://platform.toloka.ai/task/41554142/00027a10de--651673f79ed8a304700c7295	00027a10de--6515e7e063c0d47637f1e101	00027a10de--651673f79ed8a304700c7295	00027a10de--651673f79ed8a304700c7281	11382edf2065da968eca08ecf6568a00	APPROVED	2023-09-29T06:51:35.483	2023-09-29T06:52:08.573	2023-09-29T06:52:08.573	0.0190000000
{ ( { ) ] { ) }	0				https://platform.toloka.ai/task/41554142/00027a10de--651673f7e417373852fb3aa0	00027a10de--6515e7f4e6499645e520ca33	00027a10de--651673f7e417373852fb3aa0	00027a10de--651673f7e417373852fb3a98	074e3f9a0b77e0d5f87679c6f5fcc865	APPROVED	2023-09-29T06:51:35.794	2023-09-29T06:52:25.052	2023-09-29T06:52:25.052	0.0190000000
[ ] ( ( [ ] ) ( ( ) ) ) ( [ ] ( ( ) ) )	1	1			https://platform.toloka.ai/task/41554142/00027a10de--651673f7e417373852fb3aa0	00027a10de--6515e7e063c0d47637f1e0fb	00027a10de--651673f7e417373852fb3aa0	00027a10de--651673f7e417373852fb3a98	074e3f9a0b77e0d5f87679c6f5fcc865	APPROVED	2023-09-29T06:51:35.794	2023-09-29T06:52:25.052	2023-09-29T06:52:25.052	0.0190000000
} ) { [ ( ( ] ) [ [ ( ] { { ) } ) ] { }	0				https://platform.toloka.ai/task/41554142/00027a10de--651673f7e417373852fb3aa0	00027a10de--6515e7f4e6499645e520ca71	00027a10de--651673f7e417373852fb3aa0	00027a10de--651673f7e417373852fb3a98	074e3f9a0b77e0d5f87679c6f5fcc865	APPROVED	2023-09-29T06:51:35.794	2023-09-29T06:52:25.052	2023-09-29T06:52:25.052	0.0190000000
{ ( { ) ] { ) }	0				https://platform.toloka.ai/task/41554142/00027a10de--651674004dc98f156e904153	00027a10de--6515e7f4e6499645e520ca33	00027a10de--651674004dc98f156e904153	00027a10de--651674004dc98f156e90414f	64082383eaeded4c387b95ae9b30b590	APPROVED	2023-09-29T06:51:44.360	2023-09-29T06:52:06.700	2023-09-29T06:52:06.700	0.0190000000
[ ] ( ( [ ] ) ( ( ) ) ) ( [ ] ( ( ) ) )	1	1			https://platform.toloka.ai/task/41554142/00027a10de--651674004dc98f156e904153	00027a10de--6515e7e063c0d47637f1e0fb	00027a10de--651674004dc98f156e904153	00027a10de--651674004dc98f156e90414f	64082383eaeded4c387b95ae9b30b590	APPROVED	2023-09-29T06:51:44.360	2023-09-29T06:52:06.700	2023-09-29T06:52:06.700	0.0190000000
] ) ) ) { { [ }	0				https://platform.toloka.ai/task/41554142/00027a10de--651674004dc98f156e904153	00027a10de--6515e7f4e6499645e520ca66	00027a10de--651674004dc98f156e904153	00027a10de--651674004dc98f156e90414f	64082383eaeded4c387b95ae9b30b590	APPROVED	2023-09-29T06:51:44.360	2023-09-29T06:52:06.700	2023-09-29T06:52:06.700	0.0190000000
{ ( ) [ { } ] }	1				https://platform.toloka.ai/task/41554142/00027a10de--651674004dc98f156e904159	00027a10de--6515e7f4e6499645e520ca64	00027a10de--651674004dc98f156e904159	00027a10de--651674004dc98f156e904155	c1dfe6bb319417566fd24d9d353e1e53	APPROVED	2023-09-29T06:51:44.530	2023-09-29T06:52:04.008	2023-09-29T06:52:04.008	0.0190000000
[ } ) } ) { ) )	0				https://platform.toloka.ai/task/41554142/00027a10de--651674004dc98f156e904159	00027a10de--6515e7f4e6499645e520ca81	00027a10de--651674004dc98f156e904159	00027a10de--651674004dc98f156e904155	c1dfe6bb319417566fd24d9d353e1e53	APPROVED	2023-09-29T06:51:44.530	2023-09-29T06:52:04.008	2023-09-29T06:52:04.008	0.0190000000
[ ) [ ( ) ] ( ( [ ] ) [ ] ) ( [ ( ) ] )	0	0			https://platform.toloka.ai/task/41554142/00027a10de--651674004dc98f156e904159	00027a10de--6515e7e063c0d47637f1e0e1	00027a10de--651674004dc98f156e904159	00027a10de--651674004dc98f156e904155	c1dfe6bb319417566fd24d9d353e1e53	APPROVED	2023-09-29T06:51:44.530	2023-09-29T06:52:04.008	2023-09-29T06:52:04.008	0.0190000000
[ } ) } ) { ) )	0				https://platform.toloka.ai/task/41554142/00027a10de--65167404458ad076cf0a39af	00027a10de--6515e7f4e6499645e520ca81	00027a10de--65167404458ad076cf0a39af	00027a10de--65167404458ad076cf0a39a4	50cfc8b2adb2bbb9eccf4d15d0ac86ed	APPROVED	2023-09-29T06:51:48.376	2023-09-29T06:52:10.351	2023-09-29T06:52:10.351	0.0190000000
] ) ) ) { { [ }	0				https://platform.toloka.ai/task/41554142/00027a10de--65167404458ad076cf0a39af	00027a10de--6515e7f4e6499645e520ca66	00027a10de--65167404458ad076cf0a39af	00027a10de--65167404458ad076cf0a39a4	50cfc8b2adb2bbb9eccf4d15d0ac86ed	APPROVED	2023-09-29T06:51:48.376	2023-09-29T06:52:10.351	2023-09-29T06:52:10.351	0.0190000000
( ( ( ) ( ) ) ) { [ ] } { } { [ ] { } }	0	1			https://platform.toloka.ai/task/41554142/00027a10de--65167404458ad076cf0a39af	00027a10de--6515e7e063c0d47637f1e0eb	00027a10de--65167404458ad076cf0a39af	00027a10de--65167404458ad076cf0a39a4	50cfc8b2adb2bbb9eccf4d15d0ac86ed	APPROVED	2023-09-29T06:51:48.376	2023-09-29T06:52:10.351	2023-09-29T06:52:10.351	0.0190000000
[ ] [ ] [ ] [ ] { } { } { [ { } ] { } }	1				https://platform.toloka.ai/task/41554142/00027a10de--6516740715b13a5af6e9e7dd	00027a10de--6515e7f4e6499645e520ca49	00027a10de--6516740715b13a5af6e9e7dd	00027a10de--6516740715b13a5af6e9e7db	f850dd978a239fb154e22b9f4fcfc046	APPROVED	2023-09-29T06:51:51.132	2023-09-29T06:52:24.094	2023-09-29T06:52:24.094	0.0220000000
{ { { } { } ( ) } ] ( ) { } ( ) ( { } )	0	0			https://platform.toloka.ai/task/41554142/00027a10de--6516740715b13a5af6e9e7dd	00027a10de--6515e7e063c0d47637f1e0ef	00027a10de--6516740715b13a5af6e9e7dd	00027a10de--6516740715b13a5af6e9e7db	f850dd978a239fb154e22b9f4fcfc046	APPROVED	2023-09-29T06:51:51.132	2023-09-29T06:52:24.094	2023-09-29T06:52:24.094	0.0220000000
( ) { ) ( ) [ ) } ] } { ( [ } ] [ ] { {	0				https://platform.toloka.ai/task/41554142/00027a10de--6516740715b13a5af6e9e7dd	00027a10de--6515e7f4e6499645e520ca75	00027a10de--6516740715b13a5af6e9e7dd	00027a10de--6516740715b13a5af6e9e7db	f850dd978a239fb154e22b9f4fcfc046	APPROVED	2023-09-29T06:51:51.132	2023-09-29T06:52:24.094	2023-09-29T06:52:24.094	0.0220000000
} ( ) ( ( { } ) { }	0	0			https://platform.toloka.ai/task/41554142/00027a10de--65167415bded9655b6631d56	00027a10de--6515e7e063c0d47637f1e118	00027a10de--65167415bded9655b6631d56	00027a10de--65167415bded9655b6631d53	c1dfe6bb319417566fd24d9d353e1e53	APPROVED	2023-09-29T06:52:05.452	2023-09-29T06:52:39.918	2023-09-29T06:52:39.918	0.0220000000
{ ( ) ( ) [ ] }	1				https://platform.toloka.ai/task/41554142/00027a10de--65167415bded9655b6631d56	00027a10de--6515e7f4e6499645e520ca15	00027a10de--65167415bded9655b6631d56	00027a10de--65167415bded9655b6631d53	c1dfe6bb319417566fd24d9d353e1e53	APPROVED	2023-09-29T06:52:05.452	2023-09-29T06:52:39.918	2023-09-29T06:52:39.918	0.0220000000
[ ] [ ] [ ] [ ] ( { } { [ ] ( ( ) ) } )	1				https://platform.toloka.ai/task/41554142/00027a10de--65167415bded9655b6631d56	00027a10de--6515e7f4e6499645e520ca4f	00027a10de--65167415bded9655b6631d56	00027a10de--65167415bded9655b6631d53	c1dfe6bb319417566fd24d9d353e1e53	APPROVED	2023-09-29T06:52:05.452	2023-09-29T06:52:39.918	2023-09-29T06:52:39.918	0.0220000000
[ ( ( ( [ ] ) ] [ ]	0	0			https://platform.toloka.ai/task/41554142/00027a10de--6516741615b13a5af6e9ec5c	00027a10de--6515e7e063c0d47637f1e0f3	00027a10de--6516741615b13a5af6e9ec5c	00027a10de--6516741615b13a5af6e9ec5a	c3b72da5378d99c4ff1a4edb47c6fc99	APPROVED	2023-09-29T06:52:06.780	2023-09-29T06:52:25.432	2023-09-29T06:52:25.432	0.0220000000
{ ( { } ) } ( )	0				https://platform.toloka.ai/task/41554142/00027a10de--6516741615b13a5af6e9ec5c	00027a10de--6515e7f4e6499645e520cac8	00027a10de--6516741615b13a5af6e9ec5c	00027a10de--6516741615b13a5af6e9ec5a	c3b72da5378d99c4ff1a4edb47c6fc99	APPROVED	2023-09-29T06:52:06.780	2023-09-29T06:52:25.432	2023-09-29T06:52:25.432	0.0220000000
{ ( { ) ] { ) }	0				https://platform.toloka.ai/task/41554142/00027a10de--6516741615b13a5af6e9ec5c	00027a10de--6515e7f4e6499645e520ca33	00027a10de--6516741615b13a5af6e9ec5c	00027a10de--6516741615b13a5af6e9ec5a	c3b72da5378d99c4ff1a4edb47c6fc99	APPROVED	2023-09-29T06:52:06.780	2023-09-29T06:52:25.432	2023-09-29T06:52:25.432	0.0220000000
) ( [ } ) ( ) } { ] } ]	0				https://platform.toloka.ai/task/41554142/00027a10de--6516741802bac2165700bfaf	00027a10de--6515e7f4e6499645e520ca3f	00027a10de--6516741802bac2165700bfaf	00027a10de--6516741802bac2165700bfa8	64082383eaeded4c387b95ae9b30b590	APPROVED	2023-09-29T06:52:08.416	2023-09-29T06:52:24.942	2023-09-29T06:52:24.942	0.0190000000
[ } ) } ) { ) )	0				https://platform.toloka.ai/task/41554142/00027a10de--6516741802bac2165700bfaf	00027a10de--6515e7f4e6499645e520ca81	00027a10de--6516741802bac2165700bfaf	00027a10de--6516741802bac2165700bfa8	64082383eaeded4c387b95ae9b30b590	APPROVED	2023-09-29T06:52:08.416	2023-09-29T06:52:24.942	2023-09-29T06:52:24.942	0.0190000000
[ ) [ ( ) ] ( ( [ ] ) [ ] ) ( [ ( ) ] )	0	0			https://platform.toloka.ai/task/41554142/00027a10de--6516741802bac2165700bfaf	00027a10de--6515e7e063c0d47637f1e0e1	00027a10de--6516741802bac2165700bfaf	00027a10de--6516741802bac2165700bfa8	64082383eaeded4c387b95ae9b30b590	APPROVED	2023-09-29T06:52:08.416	2023-09-29T06:52:24.942	2023-09-29T06:52:24.942	0.0190000000
[ { ) ] { ) { ( ) [ [ ]	0				https://platform.toloka.ai/task/41554142/00027a10de--65167419495d233df31ea848	00027a10de--6515e7f4e6499645e520cacf	00027a10de--65167419495d233df31ea848	00027a10de--65167419495d233df31ea842	b23e58a50b7ff12474d84261618c7587	APPROVED	2023-09-29T06:52:09.732	2023-09-29T06:52:34.821	2023-09-29T06:52:34.821	0.0190000000
{ } [ ] [ ] ( )	1				https://platform.toloka.ai/task/41554142/00027a10de--65167419495d233df31ea848	00027a10de--6515e7f4e6499645e520cad3	00027a10de--65167419495d233df31ea848	00027a10de--65167419495d233df31ea842	b23e58a50b7ff12474d84261618c7587	APPROVED	2023-09-29T06:52:09.732	2023-09-29T06:52:34.821	2023-09-29T06:52:34.821	0.0190000000
{ { { } { } ( ) } ] ( ) { } ( ) ( { } )	0	0			https://platform.toloka.ai/task/41554142/00027a10de--65167419495d233df31ea848	00027a10de--6515e7e063c0d47637f1e0ef	00027a10de--65167419495d233df31ea848	00027a10de--65167419495d233df31ea842	b23e58a50b7ff12474d84261618c7587	APPROVED	2023-09-29T06:52:09.732	2023-09-29T06:52:34.821	2023-09-29T06:52:34.821	0.0190000000
{ } [ { } ( [ ] ) ( ) ]	1				https://platform.toloka.ai/task/41554142/00027a10de--65167419e417373852fb424b	00027a10de--6515e7f4e6499645e520ca13	00027a10de--65167419e417373852fb424b	00027a10de--65167419e417373852fb423d	11382edf2065da968eca08ecf6568a00	APPROVED	2023-09-29T06:52:09.897	2023-09-29T06:53:14.908	2023-09-29T06:53:14.908	0.0190000000
) ( [ } ) ( ) } { ] } ]	0				https://platform.toloka.ai/task/41554142/00027a10de--65167419e417373852fb424b	00027a10de--6515e7f4e6499645e520ca3f	00027a10de--65167419e417373852fb424b	00027a10de--65167419e417373852fb423d	11382edf2065da968eca08ecf6568a00	APPROVED	2023-09-29T06:52:09.897	2023-09-29T06:53:14.908	2023-09-29T06:53:14.908	0.0190000000
{ { } { [ ] [ ( { } ( { } [ ] ) ) ] } }	0	1			https://platform.toloka.ai/task/41554142/00027a10de--65167419e417373852fb424b	00027a10de--6515e7e063c0d47637f1e0df	00027a10de--65167419e417373852fb424b	00027a10de--65167419e417373852fb423d	11382edf2065da968eca08ecf6568a00	APPROVED	2023-09-29T06:52:09.897	2023-09-29T06:53:14.908	2023-09-29T06:53:14.908	0.0190000000
[ ( ) { ( ] ) } ] } ) { [ [ { ( } ] { )	0				https://platform.toloka.ai/task/41554142/00027a10de--6516741e4dc98f156e904ced	00027a10de--6515e7f4e6499645e520caae	00027a10de--6516741e4dc98f156e904ced	00027a10de--6516741e4dc98f156e904ce9	50cfc8b2adb2bbb9eccf4d15d0ac86ed	APPROVED	2023-09-29T06:52:14.632	2023-09-29T06:52:51.851	2023-09-29T06:52:51.851	0.0190000000
) ( [ } ) ( ) } { ] } ]	0				https://platform.toloka.ai/task/41554142/00027a10de--6516741e4dc98f156e904ced	00027a10de--6515e7f4e6499645e520ca3f	00027a10de--6516741e4dc98f156e904ced	00027a10de--6516741e4dc98f156e904ce9	50cfc8b2adb2bbb9eccf4d15d0ac86ed	APPROVED	2023-09-29T06:52:14.632	2023-09-29T06:52:51.851	2023-09-29T06:52:51.851	0.0190000000
[ ] ( [ [ { [ ] } [ ] ( { ( ) } ) ] ] )	1	1			https://platform.toloka.ai/task/41554142/00027a10de--6516741e4dc98f156e904ced	00027a10de--6515e7e063c0d47637f1e0f5	00027a10de--6516741e4dc98f156e904ced	00027a10de--6516741e4dc98f156e904ce9	50cfc8b2adb2bbb9eccf4d15d0ac86ed	APPROVED	2023-09-29T06:52:14.632	2023-09-29T06:52:51.851	2023-09-29T06:52:51.851	0.0190000000
] ) ) ) { { [ }	0				https://platform.toloka.ai/task/41554142/00027a10de--65167428e417373852fb46cf	00027a10de--6515e7f4e6499645e520ca66	00027a10de--65167428e417373852fb46cf	00027a10de--65167428e417373852fb46cd	6995671b65ccf7ef499e0cb3de5f461b	APPROVED	2023-09-29T06:52:24.787	2023-09-29T06:52:30.029	2023-09-29T06:52:30.029	0.0190000000
} ) { [ ( ( ] ) [ [ ( ] { { ) } ) ] { }	0				https://platform.toloka.ai/task/41554142/00027a10de--65167428e417373852fb46cf	00027a10de--6515e7f4e6499645e520ca71	00027a10de--65167428e417373852fb46cf	00027a10de--65167428e417373852fb46cd	6995671b65ccf7ef499e0cb3de5f461b	APPROVED	2023-09-29T06:52:24.787	2023-09-29T06:52:30.029	2023-09-29T06:52:30.029	0.0190000000
) ( ) ( { } [ } ) [	0	0			https://platform.toloka.ai/task/41554142/00027a10de--65167428e417373852fb46cf	00027a10de--6515e7e063c0d47637f1e101	00027a10de--65167428e417373852fb46cf	00027a10de--65167428e417373852fb46cd	6995671b65ccf7ef499e0cb3de5f461b	APPROVED	2023-09-29T06:52:24.787	2023-09-29T06:52:30.029	2023-09-29T06:52:30.029	0.0190000000
) ) } ) ) ( ] ) ) } } ) ) } ) ) ) ) { ]	0	0			https://platform.toloka.ai/task/41554142/00027a10de--6516742a02bac2165700c3ce	00027a10de--6515e7e063c0d47637f1e0fd	00027a10de--6516742a02bac2165700c3ce	00027a10de--6516742902bac2165700c3cc	f850dd978a239fb154e22b9f4fcfc046	APPROVED	2023-09-29T06:52:26.020	2023-09-29T06:52:46.634	2023-09-29T06:52:46.634	0.0220000000
( ) ( } ) { ] ] ( ) ] )	0				https://platform.toloka.ai/task/41554142/00027a10de--6516742a02bac2165700c3ce	00027a10de--6515e7f4e6499645e520caa0	00027a10de--6516742a02bac2165700c3ce	00027a10de--6516742902bac2165700c3cc	f850dd978a239fb154e22b9f4fcfc046	APPROVED	2023-09-29T06:52:26.020	2023-09-29T06:52:46.634	2023-09-29T06:52:46.634	0.0220000000
{ ( ) { ( ) } } [ [ ] ]	1				https://platform.toloka.ai/task/41554142/00027a10de--6516742a02bac2165700c3ce	00027a10de--6515e7f4e6499645e520cad7	00027a10de--6516742a02bac2165700c3ce	00027a10de--6516742902bac2165700c3cc	f850dd978a239fb154e22b9f4fcfc046	APPROVED	2023-09-29T06:52:26.020	2023-09-29T06:52:46.634	2023-09-29T06:52:46.634	0.0220000000
] ) ) ) { { [ }	0				https://platform.toloka.ai/task/41554142/00027a10de--6516742a0ab55c42a0bce4bd	00027a10de--6515e7f4e6499645e520ca66	00027a10de--6516742a0ab55c42a0bce4bd	00027a10de--6516742a0ab55c42a0bce4ac	c3b72da5378d99c4ff1a4edb47c6fc99	APPROVED	2023-09-29T06:52:26.800	2023-09-29T06:53:17.537	2023-09-29T06:53:17.537	0.0220000000
[ ) { { [ ( ) } ) { ] [ ) ] } { } ( ( ]	1				https://platform.toloka.ai/task/41554142/00027a10de--6516742a0ab55c42a0bce4bd	00027a10de--6515e7f4e6499645e520ca0f	00027a10de--6516742a0ab55c42a0bce4bd	00027a10de--6516742a0ab55c42a0bce4ac	c3b72da5378d99c4ff1a4edb47c6fc99	APPROVED	2023-09-29T06:52:26.800	2023-09-29T06:53:17.537	2023-09-29T06:53:17.537	0.0220000000
{ } ( ) ( ) { { ( ) ( ) ) } [ ] [ { } ]	0	0			https://platform.toloka.ai/task/41554142/00027a10de--6516742a0ab55c42a0bce4bd	00027a10de--6515e7e063c0d47637f1e108	00027a10de--6516742a0ab55c42a0bce4bd	00027a10de--6516742a0ab55c42a0bce4ac	c3b72da5378d99c4ff1a4edb47c6fc99	APPROVED	2023-09-29T06:52:26.800	2023-09-29T06:53:17.537	2023-09-29T06:53:17.537	0.0220000000
{ { { } { } ( ) } ] ( ) { } ( ) ( { } )	0	0			https://platform.toloka.ai/task/41554142/00027a10de--6516742a827c067dd016c314	00027a10de--6515e7e063c0d47637f1e0ef	00027a10de--6516742a827c067dd016c314	00027a10de--6516742a827c067dd016c30f	64082383eaeded4c387b95ae9b30b590	APPROVED	2023-09-29T06:52:26.437	2023-09-29T06:53:00.859	2023-09-29T06:53:00.859	0.0190000000
{ } [ { } ( [ ] ) ( ) ]	1				https://platform.toloka.ai/task/41554142/00027a10de--6516742a827c067dd016c314	00027a10de--6515e7f4e6499645e520ca13	00027a10de--6516742a827c067dd016c314	00027a10de--6516742a827c067dd016c30f	64082383eaeded4c387b95ae9b30b590	APPROVED	2023-09-29T06:52:26.437	2023-09-29T06:53:00.859	2023-09-29T06:53:00.859	0.0190000000
[ ( ) ( { { } [ ] } ) ]	1				https://platform.toloka.ai/task/41554142/00027a10de--6516742a827c067dd016c314	00027a10de--6515e7f4e6499645e520ca43	00027a10de--6516742a827c067dd016c314	00027a10de--6516742a827c067dd016c30f	64082383eaeded4c387b95ae9b30b590	APPROVED	2023-09-29T06:52:26.437	2023-09-29T06:53:00.859	2023-09-29T06:53:00.859	0.0190000000
( ) ( ( ) [ ( ) ] ( ) ) [ { ( ) { } } ]	1	1			https://platform.toloka.ai/task/41554142/00027a10de--6516742fe417373852fb48ee	00027a10de--6515e7e063c0d47637f1e0e5	00027a10de--6516742fe417373852fb48ee	00027a10de--6516742fe417373852fb48ec	6995671b65ccf7ef499e0cb3de5f461b	APPROVED	2023-09-29T06:52:31.174	2023-09-29T06:52:47.248	2023-09-29T06:52:47.248	0.0220000000
{ ( { ) ] { ) }	0				https://platform.toloka.ai/task/41554142/00027a10de--6516742fe417373852fb48ee	00027a10de--6515e7f4e6499645e520ca33	00027a10de--6516742fe417373852fb48ee	00027a10de--6516742fe417373852fb48ec	6995671b65ccf7ef499e0cb3de5f461b	APPROVED	2023-09-29T06:52:31.174	2023-09-29T06:52:47.248	2023-09-29T06:52:47.248	0.0220000000
[ ) [ )	0				https://platform.toloka.ai/task/41554142/00027a10de--6516742fe417373852fb48ee	00027a10de--6515e7f4e6499645e520ca7f	00027a10de--6516742fe417373852fb48ee	00027a10de--6516742fe417373852fb48ec	6995671b65ccf7ef499e0cb3de5f461b	APPROVED	2023-09-29T06:52:31.174	2023-09-29T06:52:47.248	2023-09-29T06:52:47.248	0.0220000000
( {	0				https://platform.toloka.ai/task/41554142/00027a10de--6516743415b13a5af6e9f4b1	00027a10de--6515e7f4e6499645e520ca1b	00027a10de--6516743415b13a5af6e9f4b1	00027a10de--6516743415b13a5af6e9f4ab	b23e58a50b7ff12474d84261618c7587	APPROVED	2023-09-29T06:52:36.163	2023-09-29T06:53:07.018	2023-09-29T06:53:07.018	0.0190000000
[ ] ( [ [ { [ ] } [ ] ( { ( ) } ) ] ] )	0	1			https://platform.toloka.ai/task/41554142/00027a10de--6516743415b13a5af6e9f4b1	00027a10de--6515e7e063c0d47637f1e0f5	00027a10de--6516743415b13a5af6e9f4b1	00027a10de--6516743415b13a5af6e9f4ab	b23e58a50b7ff12474d84261618c7587	APPROVED	2023-09-29T06:52:36.163	2023-09-29T06:53:07.018	2023-09-29T06:53:07.018	0.0190000000
{ ( { } ) [ ] }	1				https://platform.toloka.ai/task/41554142/00027a10de--6516743415b13a5af6e9f4b1	00027a10de--6515e7f4e6499645e520cad5	00027a10de--6516743415b13a5af6e9f4b1	00027a10de--6516743415b13a5af6e9f4ab	b23e58a50b7ff12474d84261618c7587	APPROVED	2023-09-29T06:52:36.163	2023-09-29T06:53:07.018	2023-09-29T06:53:07.018	0.0190000000
{ } ( ) ( ) { { ( ) ( ) ) } [ ] [ { } ]	0	0			https://platform.toloka.ai/task/41554142/00027a10de--651674389ed8a304700c85a1	00027a10de--6515e7e063c0d47637f1e108	00027a10de--651674389ed8a304700c85a1	00027a10de--651674389ed8a304700c859d	a6cf91d2b5f78775330412d26cb9335e	APPROVED	2023-09-29T06:52:40.458	2023-09-29T06:53:03.892	2023-09-29T06:53:03.892	0.0190000000
[ ) { { [ ( ) } ) { ] [ ) ] } { } ( ( ]	0				https://platform.toloka.ai/task/41554142/00027a10de--651674389ed8a304700c85a1	00027a10de--6515e7f4e6499645e520ca0f	00027a10de--651674389ed8a304700c85a1	00027a10de--651674389ed8a304700c859d	a6cf91d2b5f78775330412d26cb9335e	APPROVED	2023-09-29T06:52:40.458	2023-09-29T06:53:03.892	2023-09-29T06:53:03.892	0.0190000000
] ) ) ) { { [ }	0				https://platform.toloka.ai/task/41554142/00027a10de--651674389ed8a304700c85a1	00027a10de--6515e7f4e6499645e520ca66	00027a10de--651674389ed8a304700c85a1	00027a10de--651674389ed8a304700c859d	a6cf91d2b5f78775330412d26cb9335e	APPROVED	2023-09-29T06:52:40.458	2023-09-29T06:53:03.892	2023-09-29T06:53:03.892	0.0190000000
[ ( ) { ( ] ) } ] } ) { [ [ { ( } ] { )	0				https://platform.toloka.ai/task/41554142/00027a10de--6516743915b13a5af6e9f64c	00027a10de--6515e7f4e6499645e520caae	00027a10de--6516743915b13a5af6e9f64c	00027a10de--6516743915b13a5af6e9f639	c1dfe6bb319417566fd24d9d353e1e53	APPROVED	2023-09-29T06:52:41.401	2023-09-29T06:53:23.227	2023-09-29T06:53:23.227	0.0220000000
{ } ( ) ( ) { { ( ) ( ) ) } [ ] [ { } ]	0	0			https://platform.toloka.ai/task/41554142/00027a10de--6516743915b13a5af6e9f64c	00027a10de--6515e7e063c0d47637f1e108	00027a10de--6516743915b13a5af6e9f64c	00027a10de--6516743915b13a5af6e9f639	c1dfe6bb319417566fd24d9d353e1e53	APPROVED	2023-09-29T06:52:41.401	2023-09-29T06:53:23.227	2023-09-29T06:53:23.227	0.0220000000
{ } [ { } ( [ ] ) ( ) ]	1				https://platform.toloka.ai/task/41554142/00027a10de--6516743915b13a5af6e9f64c	00027a10de--6515e7f4e6499645e520ca13	00027a10de--6516743915b13a5af6e9f64c	00027a10de--6516743915b13a5af6e9f639	c1dfe6bb319417566fd24d9d353e1e53	APPROVED	2023-09-29T06:52:41.401	2023-09-29T06:53:23.227	2023-09-29T06:53:23.227	0.0220000000
( ) ( { [ ] } )	1				https://platform.toloka.ai/task/41554142/00027a10de--65167440495d233df31eb75b	00027a10de--6515e7f4e6499645e520cacb	00027a10de--65167440495d233df31eb75b	00027a10de--6516743f495d233df31eb736	f850dd978a239fb154e22b9f4fcfc046	APPROVED	2023-09-29T06:52:48.049	2023-09-29T06:53:38.974	2023-09-29T06:53:38.974	0.0220000000
[ ] ) ] { ( } )	0				https://platform.toloka.ai/task/41554142/00027a10de--65167440495d233df31eb75b	00027a10de--6515e7f4e6499645e520ca93	00027a10de--65167440495d233df31eb75b	00027a10de--6516743f495d233df31eb736	f850dd978a239fb154e22b9f4fcfc046	APPROVED	2023-09-29T06:52:48.049	2023-09-29T06:53:38.974	2023-09-29T06:53:38.974	0.0220000000
{ { } { [ ] [ ( { } ( { } [ ] ) ) ] } }	1	1			https://platform.toloka.ai/task/41554142/00027a10de--65167440495d233df31eb75b	00027a10de--6515e7e063c0d47637f1e0df	00027a10de--65167440495d233df31eb75b	00027a10de--6516743f495d233df31eb736	f850dd978a239fb154e22b9f4fcfc046	APPROVED	2023-09-29T06:52:48.049	2023-09-29T06:53:38.974	2023-09-29T06:53:38.974	0.0220000000
